nourishment,assistance,emergency
"[[546.31053945  72.74491174  53.49793075 ... -10.3157796    5.28248171
   11.18405647]
 [558.38612845  68.64467079  60.58940045 ...  -8.22433538  12.03786564
   15.11168684]
 [577.35460898  60.56410475  64.0035125  ...  -4.01098876  -1.31675395
    6.43776862]
 ...
 [409.60888374  10.5409948   34.9789455  ...  -4.00358876 -14.91509771
   -0.92056118]
 [405.51253869   1.05813309  35.32079187 ...  -1.73671053   1.66248804
  -15.43915804]
 [397.16409241 -10.02342151  22.70147144 ... -11.12339615 -14.78825214
  -23.82979585]]","[[ 4.61641958e+02  1.39384387e+01  2.68458512e+01 ...  9.86012413e-01
  -2.63363087e+00 -9.67684814e+00]
 [ 4.33376700e+02  5.92838549e+00  2.26718215e+01 ... -1.56823170e+01
  -3.74002432e+00  1.11800889e+01]
 [ 4.28646263e+02  6.12804110e+00  2.37488679e+01 ... -1.26349884e+00
   4.54783589e+00  1.78192580e+01]
 ...
 [ 4.07594647e+02  8.22338208e+00  4.81007934e+01 ...  7.58942006e-02
  -4.63988323e+00  2.38120404e+00]
 [ 4.11854204e+02  1.02046898e+01  5.01812275e+01 ... -9.52302304e-01
  -1.79608101e+00 -3.86354896e+00]
 [ 4.11760820e+02  2.71926900e+00  3.56396056e+01 ...  1.39468648e+01
  -2.61691653e+00  6.21691685e-01]]","[[ 4.94063997e+02 -2.42559506e+01  1.88466553e+01 ...  5.04235780e+00
  -3.98356729e+00  1.70901879e+01]
 [ 5.05065733e+02 -2.41079135e+01  1.41971336e+01 ... -1.89454383e+00
  -1.36318453e+01  6.48297043e+00]
 [ 5.15457829e+02 -2.44915797e+01  1.49289227e+01 ... -8.30217418e+00
  -1.04583111e+01 -1.85479037e+00]
 ...
 [ 6.76011151e+02  3.84459381e+01 -3.50602850e+01 ... -2.33236250e+01
  -1.53741925e+00  3.99704819e-01]
 [ 6.66962949e+02  5.06874657e+01 -4.14090848e+01 ... -2.17442840e+01
  -2.62439321e+00 -2.40016952e+00]
 [ 6.43429276e+02  4.53476923e+01 -3.17100560e+01 ... -2.44761267e+01
  -2.90932761e+00 -5.99046393e-02]]"
"[[ 1.02928113e+03 -1.38338489e+02 -4.69962666e+01 ...  6.44453715e+00
   2.36168054e+00 -1.10042888e+00]
 [ 1.03762794e+03 -1.47309564e+02 -4.87438557e+01 ... -1.19063979e+01
  -1.14671791e+01 -1.07894838e+01]
 [ 1.03088321e+03 -1.29536629e+02 -5.08297865e+01 ... -1.12210155e+01
   2.14189017e+00 -5.36587526e+00]
 ...
 [ 1.03012964e+03 -1.46903668e+02 -4.40405006e+01 ...  9.10324953e+00
   8.41051065e+00  5.45991992e-01]
 [ 1.03787181e+03 -1.18719064e+02 -3.03932597e+01 ... -1.11900960e+01
   3.91908261e-01 -3.87651631e+00]
 [ 1.03442544e+03 -1.18466843e+02 -3.36931725e+01 ...  3.50011607e+00
  -1.52033428e+00 -1.04577777e+01]]","[[ 4.20337208e+02  7.72954898e+00  4.12631169e+01 ... -5.64974948e-01
  -4.14096282e+00 -4.81148677e+00]
 [ 4.14733755e+02  1.70301382e+01  3.86062583e+01 ...  9.70185983e+00
   5.70575711e+00 -9.02640951e-01]
 [ 4.08643735e+02  6.52521644e+00  4.23311413e+01 ...  1.44505940e+01
   4.98683121e-01 -2.71359880e+00]
 ...
 [ 5.09018144e+02  5.71436258e+01  4.82884654e+01 ... -1.35733447e+01
   1.26090464e+01 -1.91490496e+01]
 [ 4.81613992e+02  4.53281521e+01  5.15057964e+01 ... -2.32610878e+01
  -1.52791463e+00 -1.89816259e+01]
 [ 4.64529703e+02  4.23842144e+01  6.35500991e+01 ... -7.69374231e+00
  -1.10173068e+00 -1.14245078e+01]]","[[465.39963167   4.39018633  26.25202232 ...  10.20033892   3.34975267
   -6.61093973]
 [441.5009917    5.90496646  25.67608124 ...  22.78696523  13.61186087
  -11.67126836]
 [442.75508786   3.72831312  26.78448918 ...  21.86697483   9.2597215
   -9.48941958]
 ...
 [469.78854567  -4.63245076  37.62353161 ...  28.8535854   20.74099042
    6.83912359]
 [421.22163816  18.55669214  59.46159646 ...  14.54247126   6.19927983
    9.79084933]
 [419.08376246  20.97147569  55.87194957 ...   3.78794484   2.42763434
   -1.17615862]]"
"[[ 1.02448387e+03 -1.47662897e+02 -3.47429157e+01 ... -8.36698922e+00
  -1.12659285e+01  3.19983404e+00]
 [ 1.02864188e+03 -1.56857829e+02 -3.61393063e+01 ... -5.48732314e+00
  -6.38286799e+00 -2.71611086e+00]
 [ 1.03041915e+03 -1.41533987e+02 -2.64329832e+01 ... -3.07012839e+00
  -2.87887926e+00 -1.51315368e+01]
 ...
 [ 1.04099569e+03 -1.21030712e+02 -3.41431020e+01 ...  1.80703502e+00
  -6.66880053e-01 -4.80756955e+00]
 [ 1.03247999e+03 -1.29671200e+02 -3.87505575e+01 ... -2.25091128e+00
  -5.59187198e+00 -4.87326143e+00]
 [ 1.03818509e+03 -1.32799437e+02 -3.74460458e+01 ... -1.00415582e+01
  -2.96278068e+00 -4.95412640e+00]]","[[ 4.98011634e+02 -1.70474743e+01 -2.69097087e+00 ... -1.50845758e+01
  -1.90475870e+01 -4.96348884e+00]
 [ 5.08214928e+02 -2.42347085e+01 -2.28511857e+01 ... -1.40755877e+01
  -1.29835705e+01 -5.90993596e+00]
 [ 5.03549925e+02 -1.94502221e+01 -1.18292574e+01 ... -1.17387534e+01
  -1.67209290e+01  2.17125784e+00]
 ...
 [ 4.49832024e+02 -1.07591912e+01  3.20113804e+01 ...  1.39990502e+01
   1.95198163e+00 -2.68524972e+00]
 [ 5.76520172e+02  4.07316258e+00 -6.52708895e+01 ...  6.96698071e-01
  -9.72277174e-01 -3.79895196e+00]
 [ 7.28170927e+02  2.68172759e+00 -9.75377176e+01 ...  8.11167894e+00
  -2.45251068e+00  7.95693314e-01]]","[[477.72151489   2.02224456  36.76583797 ...   4.33838587   2.494861
    0.86398506]
 [419.34877293  15.27439378  56.22431474 ...  16.52918655   4.91772281
   -5.07608704]
 [424.34275829  17.04824105  59.73418658 ...   9.74464659   7.67252089
   -3.31636959]
 ...
 [405.88782406   6.70142993  49.96845892 ...  -3.45614048  -1.95079206
    6.69948211]
 [411.56847228   1.4773679   41.0669607  ...   6.06933539   2.83455876
   -3.05868034]
 [412.1108628    3.56560755  47.65796853 ...   2.23924414 -15.12474174
  -10.95561745]]"
"[[ 4.20594075e+02  1.46573065e+01  3.92844798e+01 ...  4.45898425e+00
  -2.52713532e+00 -9.05274947e+00]
 [ 4.00230074e+02  1.32722907e+00  3.96005314e+01 ...  4.61438329e+00
   1.89152478e+00 -7.56452745e+00]
 [ 4.07862316e+02 -5.64123183e+00  2.38401565e+01 ...  4.82046701e+00
   4.81289525e+00 -9.69605468e+00]
 ...
 [ 6.39322608e+02  7.53178843e+01  1.04913337e+01 ...  1.45072349e+01
   1.34111969e+01 -7.02089177e+00]
 [ 6.29871254e+02  7.50310859e+01  2.30696208e+01 ...  1.10889231e+01
   2.10746649e+01 -7.04569697e-01]
 [ 6.11588910e+02  7.06367382e+01  3.37441807e+01 ... -5.12197336e-01
   1.70546381e+01  5.05972793e+00]]","[[421.45660009  -4.07181437  37.37791312 ...  -1.21071647  -8.61779218
   -3.77955604]
 [410.66276858  -9.39110846  44.36685808 ...   7.13130347 -12.6496865
   -8.58971392]
 [401.20045863  -2.61678784  48.70766854 ...   7.29191665  -4.08550725
   -3.09613787]
 ...
 [413.8724877   11.80910935  43.63229358 ...   3.13768419   0.53838312
   -0.91921971]
 [403.41463561   3.51611275  41.99223218 ...   7.04715633  -2.77936589
   -5.56564958]
 [411.78751202  10.93613196  52.88251381 ...  -0.87447979  -8.17648929
  -10.93312095]]","[[ 4.56806105e+02  1.58497000e+01  4.84646326e+01 ...  1.92429489e+01
   1.48876203e+01  1.02170742e+01]
 [ 4.25647631e+02  2.17761875e+01  6.89423997e+01 ...  2.42489303e+01
   1.88159567e+01  4.11415202e+00]
 [ 4.18609229e+02  2.44225022e+01  6.04746292e+01 ...  2.08112668e+01
   1.56011089e+01  5.45608797e+00]
 ...
 [ 4.09164921e+02  1.86182434e+01  4.61202475e+01 ... -3.55843160e-01
  -9.24270733e-01 -5.02551635e+00]
 [ 4.20361056e+02  1.29666311e+01  4.62058071e+01 ... -5.85207937e+00
  -7.27708867e-01 -2.85573532e+00]
 [ 4.19093929e+02  1.53573894e+01  5.32817546e+01 ...  3.56344481e+00
   5.53414892e+00 -4.41558791e+00]]"
"[[ 1.03133308e+03 -1.22407567e+02 -4.37848387e+01 ... -1.11648493e+00
   1.08581363e+01  2.49122667e+00]
 [ 1.03468659e+03 -1.34644308e+02 -3.55780581e+01 ... -9.95555016e+00
   4.97002088e+00 -5.32862142e-01]
 [ 1.03642389e+03 -1.07030890e+02 -2.92979253e+01 ... -6.72319616e+00
   5.15251691e+00 -3.31849164e+00]
 ...
 [ 1.02992477e+03 -1.55394472e+02 -2.44627849e+01 ... -2.41794851e+00
  -9.32898700e+00 -9.08987306e+00]
 [ 1.02807520e+03 -1.49116200e+02 -1.76250679e+01 ... -8.85180048e+00
  -3.74585319e+00  3.63951401e+00]
 [ 1.02148748e+03 -1.57299150e+02 -1.62413171e+01 ... -8.69655752e+00
  -5.10310060e+00 -7.67996276e+00]]","[[ 4.75187778e+02 -5.27142117e+00  1.35894231e+01 ...  2.24135314e+00
   1.75312546e+00 -3.27330274e+00]
 [ 4.34548114e+02  4.70021062e+00  2.94118662e+01 ...  1.60866180e+00
  -8.46283411e+00 -1.12745929e+01]
 [ 4.00125540e+02 -7.36582225e-01  4.49014532e+01 ... -2.59389878e+00
  -4.93119535e+00 -2.65485883e+00]
 ...
 [ 8.79930912e+02 -4.80086002e+01 -1.15712964e+02 ... -1.35498880e+01
   9.70494064e+00 -2.41416784e+01]
 [ 8.81548808e+02 -3.52749342e+01 -1.17628999e+02 ... -1.43157517e+01
   1.08641867e+01 -2.33662437e+01]
 [ 8.77544860e+02 -4.27735838e+01 -1.17215061e+02 ... -1.47521200e+01
   1.00386661e+01 -2.18839749e+01]]","[[422.42247949   8.08529525  30.15658395 ...  -2.70025705  -9.44495348
    1.67375577]
 [422.14494456   7.01312228  27.5035503  ...   2.60760309  -6.84820779
   -4.12394348]
 [412.55909516  -0.47436193  33.3597451  ... -10.98586974 -13.18674733
  -10.40770661]
 ...
 [408.82557297   1.22180963  38.45110781 ...  20.60672906  13.95905703
   -1.06568047]
 [407.02234721  13.97232998  38.48575119 ...   8.46584754   2.32373905
   -3.95334258]
 [407.10946056  18.1970192   49.62223596 ...  15.67046628  12.04304174
    3.04242102]]"
"[[ 1.04631138e+03 -1.30404905e+02 -3.65105834e+01 ...  2.57400665e+00
   1.65113214e+00 -5.14356808e+00]
 [ 1.04767189e+03 -1.23735926e+02 -3.90109781e+01 ... -4.08330242e+00
  -1.13269254e+00  2.14736723e+00]
 [ 1.02635113e+03 -1.36529584e+02 -4.79959591e+01 ...  2.79257610e+00
   6.69517698e+00  2.91512192e+00]
 ...
 [ 1.02603034e+03 -1.33583147e+02 -4.57935823e+01 ...  3.77658726e-01
   8.00484827e+00 -1.69271717e+00]
 [ 1.02178518e+03 -1.53902177e+02 -5.62642265e+01 ... -1.47740897e+01
  -4.18667751e+00 -2.44311284e+00]
 [ 1.02926580e+03 -1.55327341e+02 -5.04694382e+01 ... -8.45899687e+00
  -3.74369131e+00 -8.63072634e+00]]","[[ 4.58237767e+02  2.56897491e+00  3.45487798e+01 ...  7.71822482e+00
   1.28326904e+01 -5.35875527e+00]
 [ 4.41426766e+02 -9.48437055e-01  3.86801424e+01 ...  2.62675803e+00
   8.91796623e+00 -1.35701335e+01]
 [ 4.28650690e+02 -4.68057540e+00  4.14999239e+01 ...  8.08948520e+00
  -1.35294019e+00 -8.68962708e+00]
 ...
 [ 4.09795636e+02  9.00950085e+00  4.73094448e+01 ... -2.36146629e+00
  -1.00199439e+01 -4.41302612e+00]
 [ 4.14797896e+02  9.90840905e+00  4.69459934e+01 ...  4.15512997e+00
  -5.59616614e+00 -2.00302278e+00]
 [ 4.25690126e+02  1.55004575e+01  4.31500502e+01 ...  1.23041111e-01
  -5.47699714e+00 -7.75950526e+00]]","[[ 5.65647889e+02 -5.82394570e+01  7.05269837e+00 ...  2.90195519e+00
  -7.87177802e-01 -4.43177643e+00]
 [ 5.61453528e+02 -5.58009369e+01  1.66520761e+01 ...  4.68741178e+00
  -1.16736183e+00  1.51091006e+00]
 [ 5.25980550e+02 -4.39766568e+01  2.30557259e+01 ...  2.57353411e+01
   2.01362157e+00 -9.52820844e-02]
 ...
 [ 4.99308597e+02 -4.57432168e+01 -9.39553500e+00 ...  4.85594779e+00
  -6.68122203e+00 -1.71545427e+01]
 [ 4.96640519e+02 -3.53769199e+01 -3.91748576e-01 ...  1.36275749e+01
  -1.33799613e+01 -1.62374624e+01]
 [ 4.90022184e+02 -3.74891764e+01 -5.32553139e+00 ...  4.98981813e+00
  -1.16543316e+01 -2.22241091e+01]]"
"[[ 4.33523971e+02 -8.52180294e+00  2.22469798e+01 ... -8.63042636e+00
   3.28038287e+00 -1.04606776e+01]
 [ 4.62207408e+02 -1.10946766e+01  1.05528615e+01 ... -5.55563902e+00
  -4.41002193e-01 -6.27715269e+00]
 [ 4.12081883e+02 -7.32557945e+00  3.08913114e+01 ...  5.88826546e+00
   2.39785424e+00 -7.12515250e+00]
 ...
 [ 4.06660594e+02  9.39446692e-01  3.48956710e+01 ... -3.69414933e+00
  -3.22549012e+00 -6.54481407e+00]
 [ 4.20600573e+02  1.61562806e+01  5.55951450e+01 ... -9.00482733e+00
  -4.22343616e+00 -9.23327848e+00]
 [ 4.17096327e+02  1.10925963e+01  4.51769526e+01 ...  4.79598179e+00
  -6.23489150e+00 -5.53892872e+00]]","[[ 5.23241626e+02  4.67502038e+01  9.82618563e+00 ...  1.39724535e+01
   6.58128359e+00 -5.11656543e+00]
 [ 6.07101354e+02  7.40137770e+01 -1.39590102e-01 ...  1.34667784e+01
   1.07343614e+01 -4.14950118e+00]
 [ 6.52065818e+02  6.33430531e+01 -1.67601726e+01 ...  2.58361658e+01
   9.41198201e+00 -2.44333132e-01]
 ...
 [ 4.13226919e+02  1.22528905e+01  5.50110789e+01 ...  1.80271082e+01
   1.67126155e+01  8.23782119e-01]
 [ 4.04792991e+02  5.56838912e+00  5.51062263e+01 ...  1.65562635e+01
   7.44628097e+00 -9.02150470e+00]
 [ 4.11266854e+02  8.07393253e+00  5.05557946e+01 ...  9.65524300e+00
   1.34386839e+01  3.16546734e+00]]","[[ 4.22247933e+02  1.21170637e+01  4.29090053e+01 ... -5.02024264e+00
  -8.65787322e+00 -4.58730341e+00]
 [ 4.02767232e+02  8.97973162e+00  3.87132771e+01 ...  2.30653534e+00
  -5.34255371e+00 -7.39646604e+00]
 [ 4.05997863e+02  1.44044937e+01  4.56270347e+01 ... -7.41832279e-02
  -2.61057074e+00 -1.06466009e+01]
 ...
 [ 5.42080622e+02 -6.85362258e+01  3.14678390e+01 ... -1.16021175e+00
  -8.58374389e+00 -9.32998533e+00]
 [ 5.46737883e+02 -7.26507187e+01  3.99767156e+01 ...  1.23123700e+01
   9.41975255e-01 -3.96331964e+00]
 [ 5.32039702e+02 -7.99479763e+01  4.29094329e+01 ...  1.95721452e+01
  -4.83271034e+00 -1.08785157e+01]]"
"[[1017.29800535 -154.99284766  -19.42723028 ...   -1.62746775
    -6.06673114   -2.20483642]
 [1023.32936542 -155.62738135  -31.99609379 ...    1.43870575
   -12.88593801    1.0820929 ]
 [1031.85382829 -144.55316842  -42.99012621 ...  -14.29320738
    -8.39425788   -2.72968576]
 ...
 [1028.80627734 -155.89087775  -50.8853557  ...  -15.89431169
   -11.26036235  -10.4903049 ]
 [1032.22604515 -143.1058478   -30.34426097 ...   -3.48628306
   -13.17269817   -9.51115402]
 [1034.89727873 -133.9198917   -25.21082312 ...   -3.22729965
   -15.47078014  -12.84890885]]","[[509.34141962  -4.47333977 -15.90285398 ...  -2.37970371  -9.59859061
  -11.74094451]
 [500.44946039  14.59826935  12.19765149 ...   2.19701966 -11.17034892
  -13.91422986]
 [477.76676893  -4.71168919   3.9910611  ...   2.68247317  -7.2677079
  -17.95428954]
 ...
 [399.60428517  -5.65029819  41.05022408 ...   1.97016655 -11.51224568
    4.86992621]
 [402.28358456  -9.92190384  27.73283893 ...  -1.95491437  -9.63679029
   -1.46938322]
 [422.32133417  13.99870034  42.78973051 ...  -1.464005    -5.08134981
   -5.7494046 ]]","[[ 4.25818952e+02 -6.91654804e+00  1.84049145e+01 ... -1.28578230e+01
  -7.68921063e+00 -4.96229333e+00]
 [ 4.29164306e+02  1.39742801e+00  3.66670952e+01 ... -4.76856963e+00
  -1.05983652e+01 -9.04625419e-01]
 [ 4.39623473e+02 -6.93308440e+00  2.88807862e+01 ... -2.00278792e+00
  -4.26176482e+00  3.45733991e+00]
 ...
 [ 4.06643238e+02  1.17455769e+01  3.62054536e+01 ...  9.08077669e+00
   2.63005735e+00 -1.36602045e+01]
 [ 4.14219191e+02  1.47667917e+01  3.56131216e+01 ...  1.16334307e+01
   1.23545730e+00 -2.53870169e+00]
 [ 4.12863659e+02  2.66622135e-01  2.59147992e+01 ...  4.76975216e+00
  -2.93656244e+00 -7.21547776e+00]]"
"[[1024.19104511 -166.43863676  -39.78046746 ...    2.4534239
     5.26927481   -5.58250471]
 [1012.85174973 -163.25557731  -15.52680234 ...   -4.99750235
     2.20297244    3.18551445]
 [1017.16219508 -163.58745863  -15.86400476 ...    3.63598308
    -5.63299008  -22.93129209]
 ...
 [1042.52612885 -114.65946202  -34.20277019 ...  -10.81487604
    -4.2011268     2.05656607]
 [1035.65627369 -117.43897627  -38.03245497 ...   -5.42643978
    -9.41607294   -3.12265115]
 [1029.26920695 -138.89210929  -43.04197762 ...   -5.19828583
     8.71638384    8.88222476]]","[[ 4.19214822e+02  4.83176709e+00  2.60819016e+01 ...  2.50047359e-01
  -9.08212984e+00 -6.46636568e+00]
 [ 4.21783231e+02 -1.65531004e-01  2.81242014e+01 ... -7.85545141e-01
   2.00824584e+00  3.98345395e+00]
 [ 4.24777725e+02  6.90057778e+00  2.46479659e+01 ... -4.55534437e+00
  -4.31057895e-01  6.58348157e+00]
 ...
 [ 4.16051059e+02  3.88589642e+00  3.68075767e+01 ... -4.94355902e+00
  -5.64409939e-01  8.73901728e+00]
 [ 4.19908278e+02  7.39435727e+00  3.31931079e+01 ... -4.37280057e+00
   6.76766685e-02  3.75159384e+00]
 [ 4.23926425e+02  1.09166485e+01  4.23072919e+01 ...  4.91791928e+00
   9.55757056e+00  7.09519183e+00]]","[[ 6.17547113e+02  2.81043859e+01 -4.53789634e+01 ... -4.16860316e+00
  -9.70260058e-01 -9.46443408e-01]
 [ 6.21430731e+02  3.09236857e+01 -4.41322932e+01 ... -1.36942093e+01
   1.83720783e+00 -6.46613534e+00]
 [ 6.18965118e+02  3.93477131e+01 -3.62817013e+01 ... -5.57511961e+00
  -3.28371806e+00 -5.26634691e-02]
 ...
 [ 8.26393664e+02 -3.79138697e+00 -1.05058412e+02 ... -2.10940189e+01
   9.24393188e+00 -1.57005959e+01]
 [ 8.28143725e+02 -7.21187859e+00 -9.72777577e+01 ... -2.15359953e+01
   1.35767626e+01 -1.22729475e+01]
 [ 8.24523241e+02 -1.12697423e+01 -9.15764719e+01 ... -1.47908256e+01
   4.27909014e+00 -1.63796606e+01]]"
"[[ 6.83041613e+02  4.23646090e+01 -1.95060669e+00 ...  1.60864353e+01
   7.02173411e+00 -4.87930905e-01]
 [ 6.75598447e+02  5.47645136e+01 -3.31863303e+00 ...  2.14047198e+01
   6.47018773e+00  2.19212821e+00]
 [ 6.57971449e+02  6.47701660e+01  1.58889412e+00 ...  1.23677950e+01
   4.16837165e+00  1.59963221e+01]
 ...
 [ 7.17858653e+02  5.84196278e+01 -2.48834466e+00 ...  3.17800702e+01
   5.12963797e+00 -6.65843706e+00]
 [ 7.01639110e+02  6.12031678e+01 -1.11800697e+01 ...  2.87231262e+01
   8.37083534e+00 -6.89351380e+00]
 [ 6.74355513e+02  6.61425582e+01 -6.80722555e+00 ...  1.41574515e+01
  -4.76285370e+00 -2.61891916e-03]]","[[528.14031796  55.70756744 -18.47791148 ...  -7.2675779   -7.39746179
  -24.84658245]
 [529.41256411  48.65171316 -35.4143761  ... -11.3309668   -4.74344669
  -29.56817038]
 [533.73697585  48.57403211 -30.28907653 ...  -9.39712577   2.184884
  -17.702861  ]
 ...
 [409.2158704    2.71362363  46.18464287 ...  -4.82628255  -2.3495195
   -5.1582241 ]
 [413.98036827  16.99152943  45.63494584 ...   5.28288458  11.88287648
    1.58659757]
 [407.22346139  -1.9731358   29.66566149 ...   8.5319694    8.47782683
    2.14318174]]","[[508.21062167  49.85585798 -31.33170061 ...   0.7593555  -10.83005902
   -4.96121166]
 [448.09607387  28.26610059  25.94219809 ...  11.58168182  11.78746117
   -3.09068544]
 [426.24153243  17.6727627   38.98997584 ...   4.08712307   0.63671904
    0.70909808]
 ...
 [503.22289473  17.19911108   0.56139995 ...  -4.4232275   -4.98892672
  -13.59470174]
 [516.16893149  21.47691599  -7.60056795 ...  -3.4779451   -0.96152377
  -27.30914713]
 [521.97987981  24.60841785  -8.38668218 ... -16.58633318  -5.28187188
  -12.55169263]]"
